id,name,staticDataUrl,dynamicDataUrl,limitedAccess,uuid,latitude,longitude,city,country_code,province,region,mark,usage,accessPoints,capacity,contactPersons,minimumHeightInMeters,openingTimes,tariffs
402,"Garage De Hovel (Goirle)",https://npropendata.rdw.nl/parkingdata/v2/static/06b52564-7e7f-4068-b19a-e4505020aeb1,,0,06b52564-7e7f-4068-b19a-e4505020aeb1,51.521392,5.067721,Goirle,nl,Noord-Brabant,Zuid-Nederland,average,garage,1,200,0,2.0,1,1
403,Tuindorpstraat,https://npropendata.rdw.nl/parkingdata/v2/static/a0e33744-ebb1-4bfd-bf09-1137c18f79f1,,0,a0e33744-ebb1-4bfd-bf09-1137c18f79f1,52.2648522373491,6.78449319043459,Hengelo,nl,Overijssel,Oost-Nederland,onstreet,onstreet,0,,1,,0,1
404,"2,00/ 2 uur",https://npropendata.rdw.nl/parkingdata/v2/static/5feb24e4-148e-480f-aac6-f2e3f04f64d9,,0,5feb24e4-148e-480f-aac6-f2e3f04f64d9,50.8859237640161,5.97115637232024,Heerlen,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
405,"Garage De Nieuwe Kolk (Assen)",https://npropendata.rdw.nl/parkingdata/v2/static/1053469b-3c7c-4a2c-b57f-9a8393c6e5ea,,0,1053469b-3c7c-4a2c-b57f-9a8393c6e5ea,52.995509,6.557356,Assen,nl,Drenthe,Noord-Nederland,average,garage,1,509,0,2.25,1,1
406,"Havenstraat Meppel straatparkeren",https://npropendata.rdw.nl/parkingdata/v2/static/07ca21ea-fd31-4263-b472-1d88a3d6ccca,,0,07ca21ea-fd31-4263-b472-1d88a3d6ccca,52.697042903422,6.18677817750096,Meppel,nl,Drenthe,Noord-Nederland,onstreet,onstreet,0,,0,,0,1
407,Heuvel,https://npropendata.rdw.nl/parkingdata/v2/static/f36f2453-0237-4417-aca4-073e26308822,,0,f36f2453-0237-4417-aca4-073e26308822,51.4225499664922,5.55931153776595,Geldrop-Mierlo,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
408,"vergunningzone 6 centrum Almere Buiten",https://npropendata.rdw.nl/parkingdata/v2/static/1332193d-8d5a-457e-9c27-14388b7c4a86,,0,1332193d-8d5a-457e-9c27-14388b7c4a86,52.3935761908067,5.27405380635327,Almere,nl,Flevoland,Noordwest-Nederland,onstreet,onstreet,0,,1,,0,0
409,"Garage Leyweg 1 (Den Haag)",https://npropendata.rdw.nl/parkingdata/v2/static/85b13231-9014-439c-934a-ce5ad58f1db0,,0,85b13231-9014-439c-934a-ce5ad58f1db0,52.046361,4.279474,"Den Haag",nl,Zuid-Holland,Zuidwest-Nederland,average,garage,1,650,0,2.0,1,1
410,"Bedrijfsontheffing blauwe zone Schoolstraat",https://npropendata.rdw.nl/parkingdata/v2/static/6510f7c5-0a80-414d-bab6-7ac88aa1c813,,0,6510f7c5-0a80-414d-bab6-7ac88aa1c813,52.3424471923101,4.95954645755449,Diemen,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
411,"OW21_U01 Zuid JP Heije Overtoom WS",https://npropendata.rdw.nl/parkingdata/v2/static/dc2a3eb5-20a4-4daf-a994-55491f210a72,,0,dc2a3eb5-20a4-4daf-a994-55491f210a72,52.3606932276426,4.86456706721033,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
